A;1;2;3;11;23;24;25;26;29;30;31;32;33;34;36;66;68;69;74;80;;;;;;;;;;;;;;
B;'B*07'='B7';'B*08'='B8';'B*13'='B13';'B*14'='B14';'B*15'='B15';'B*18'='B18';'B*27'='B27';'B*35'='B35';'B*37'='B37';'B*38'='B38';'B*39'='B39';'B*40'='B40';'B*41'='B41';'B*42'='B42';'B*44'='B44';'B*45'='B45';'B*46'='B46';'B*47'='B47';'B*48'='B48';'B*49'='B49';'B*50'='B50';'B*51'='B51';'B*52'='B52';'B*53'='B53';'B*54'='B54';'B*55'='B55';'B*56'='B56';'B*57'='B57';'B*58'='B58';'B*67'='B67';'B*73'='B73';'B*78'='B78';'B*81'='B81';'B*82'='B82'
DR;'DRB1*01'='DR1';'DRB1*03'='DR3';'DRB1*04'='DR4';'DRB1*07'='DR7';'DRB1*08'='DR8';'DRB1*09'='DR9';'DRB1*10'='DR10';'DRB1*11'='DR11';'DRB1*12'='DR12';'DRB1*13'='DR13';'DRB1*14'='DR14';'DRB1*15'='DR15';'DRB1*16'='DR16';;;;;;;;;;;;;;;;;;;;;
