"";"A";"DR";"freq";"AA";"DDR"
"121";30;12;0,000342494;"A30";"DR12"
"122";30;13;0,003197895;"A30";"DR13"
"123";30;14;0,000604536;"A30";"DR14"
"124";30;15;0,000980675;"A30";"DR15"
"125";30;16;0,000397821;"A30";"DR16"
"126";30;3;0,006613791;"A30";"DR3"
"127";30;4;0,002227015;"A30";"DR4"
"128";30;7;0,007503478;"A30";"DR7"
"129";30;8;0,001384507;"A30";"DR8"
"130";30;9;6,22e-05;"A30";"DR9"
"131";31;1;0,00355426;"A31";"DR1"
"132";31;10;0,000116035;"A31";"DR10"
"133";31;11;0,002683264;"A31";"DR11"
"134";31;12;0,000341918;"A31";"DR12"
"135";31;13;0,003324185;"A31";"DR13"
"136";31;14;0,000872289;"A31";"DR14"
"137";31;15;0,001393959;"A31";"DR15"
"138";31;16;0,000373359;"A31";"DR16"
"139";31;3;0,001178305;"A31";"DR3"
"140";31;4;0,005593535;"A31";"DR4"
"141";31;7;0,00344291;"A31";"DR7"
"142";31;8;0,002095955;"A31";"DR8"
"143";31;9;0,000218875;"A31";"DR9"
"144";32;1;0,004711246;"A32";"DR1"
"145";32;10;0,001080207;"A32";"DR10"
"146";32;11;0,004116091;"A32";"DR11"
"147";32;12;0,000859573;"A32";"DR12"
"148";32;13;0,006681271;"A32";"DR13"
"149";32;14;0,001041128;"A32";"DR14"
"150";32;15;0,002451875;"A32";"DR15"
"151";32;16;0,001519579;"A32";"DR16"
"152";32;3;0,002570974;"A32";"DR3"
"153";32;4;0,007111249;"A32";"DR4"
"154";32;7;0,006243602;"A32";"DR7"
"155";32;8;0,000742976;"A32";"DR8"
"156";32;9;4,85e-05;"A32";"DR9"
"157";33;1;0,01642599;"A33";"DR1"
"158";33;10;0,000250972;"A33";"DR10"
"159";33;11;0,001714835;"A33";"DR11"
"160";33;12;0,000127984;"A33";"DR12"
"161";33;13;0,004049385;"A33";"DR13"
"162";33;14;0,000372277;"A33";"DR14"
"163";33;15;0,001727777;"A33";"DR15"
"164";33;16;0,000445796;"A33";"DR16"
"165";33;3;0,002848099;"A33";"DR3"
"166";33;4;0,001478694;"A33";"DR4"
"167";33;7;0,004111339;"A33";"DR7"
"168";33;8;0,001490241;"A33";"DR8"
"169";33;9;6,83e-05;"A33";"DR9"
"170";34;1;0,000271632;"A34";"DR1"
"171";34;11;0,000195949;"A34";"DR11"
"172";34;12;5,01e-10;"A34";"DR12"
"173";34;13;0,000369619;"A34";"DR13"
"174";34;14;6,92e-05;"A34";"DR14"
"175";34;15;6,07e-06;"A34";"DR15"
"176";34;16;7,1e-12;"A34";"DR16"
"177";34;3;0,002544584;"A34";"DR3"
"178";34;4;0,000431439;"A34";"DR4"
"179";34;7;0,00048362;"A34";"DR7"
"180";34;8;5,83e-05;"A34";"DR8"
"181";34;9;4,56e-06;"A34";"DR9"
"182";36;1;1,37e-05;"A36";"DR1"
"183";36;11;0,000204347;"A36";"DR11"
"184";36;12;2,76e-05;"A36";"DR12"
"185";36;16;0,000346556;"A36";"DR16"
"186";66;1;0,000192123;"A66";"DR1"
"187";66;10;3,23e-05;"A66";"DR10"
"188";66;11;0,000761756;"A66";"DR11"
"189";66;12;3,64e-05;"A66";"DR12"
"190";66;13;0,001655492;"A66";"DR13"
"191";66;14;0,000160108;"A66";"DR14"
"192";66;15;0,000216308;"A66";"DR15"
"193";66;16;5,76e-05;"A66";"DR16"
"194";66;3;0,000357878;"A66";"DR3"
"195";66;4;0,003242885;"A66";"DR4"
"196";66;7;0,002377974;"A66";"DR7"
"197";66;8;4,11e-05;"A66";"DR8"
"198";66;9;1,46e-05;"A66";"DR9"
"199";68;1;0,004927481;"A68";"DR1"
"200";68;10;0,001258264;"A68";"DR10"
"201";68;11;0,003522339;"A68";"DR11"
"202";68;12;0,000590865;"A68";"DR12"
"203";68;13;0,011970584;"A68";"DR13"
"204";68;14;0,000627906;"A68";"DR14"
"205";68;15;0,004568952;"A68";"DR15"
"206";68;16;0,000572199;"A68";"DR16"
"207";68;3;0,005145187;"A68";"DR3"
"208";68;4;0,007916203;"A68";"DR4"
"209";68;7;0,005869864;"A68";"DR7"
"210";68;8;0,002560535;"A68";"DR8"
"211";68;9;0,000452513;"A68";"DR9"
"212";69;1;0,000195046;"A69";"DR1"
"213";69;10;0,000125026;"A69";"DR10"
"214";69;11;0,000776765;"A69";"DR11"
"215";69;12;2,79e-05;"A69";"DR12"
"216";69;13;0,000960388;"A69";"DR13"
"217";69;14;0,00019957;"A69";"DR14"
"218";69;15;0,000270752;"A69";"DR15"
"219";69;3;8,93e-05;"A69";"DR3"
"220";69;4;0,000517261;"A69";"DR4"
"221";69;7;8,57e-05;"A69";"DR7"
"222";69;8;9,26e-06;"A69";"DR8"
"223";69;9;9,89e-05;"A69";"DR9"
"224";74;1;5,7e-05;"A74";"DR1"
"225";74;10;3,43e-05;"A74";"DR10"
"226";74;11;0,000164833;"A74";"DR11"
"227";74;12;4,46e-05;"A74";"DR12"
"228";74;13;0,00035568;"A74";"DR13"
"229";74;14;7,31e-14;"A74";"DR14"
"230";74;15;1,55e-13;"A74";"DR15"
"231";74;3;9,92e-05;"A74";"DR3"
"232";74;7;0,000219912;"A74";"DR7"
"233";74;8;0,000143015;"A74";"DR8"
"234";74;9;8,64e-14;"A74";"DR9"
"235";80;1;3,58e-05;"A80";"DR1"
"236";80;10;1,3e-12;"A80";"DR10"
"237";80;11;6,5e-05;"A80";"DR11"
"238";80;13;0,000250841;"A80";"DR13"
"239";80;15;3,06e-05;"A80";"DR15"
"240";80;3;0,000157792;"A80";"DR3"
"241";80;7;0,000109012;"A80";"DR7"
"242";80;8;0,00010525;"A80";"DR8"
"243";80;9;2,22e-05;"A80";"DR9"
