;A;C;DR;freq;AA;CC;DDR
688;25;14;13;0,000285444;A25;C14;DR13
687;25;14;10;7,53E-06;A25;C14;DR10
686;25;12;8;3,29E-05;A25;C12;DR8
685;25;12;7;0,000329727;A25;C12;DR7
684;25;12;4;0,001158378;A25;C12;DR4
683;25;12;3;0,000103747;A25;C12;DR3
682;25;12;16;0,000494903;A25;C12;DR16
681;25;12;15;0,003621016;A25;C12;DR15
680;25;12;14;9,86E-05;A25;C12;DR14
679;25;12;13;0,000206086;A25;C12;DR13
678;25;12;11;0,000258046;A25;C12;DR11
677;25;12;1;0,000738658;A25;C12;DR1
676;25;1;10;2,82E-05;A25;C1;DR10
675;24;8;7;0,001807534;A24;C8;DR7
674;24;8;4;0,000125217;A24;C8;DR4
673;24;8;3;6,49E-05;A24;C8;DR3
672;24;8;16;3,63E-05;A24;C8;DR16
671;24;8;15;1,24E-05;A24;C8;DR15
670;24;8;14;7,12E-05;A24;C8;DR14
669;24;8;13;0,000194008;A24;C8;DR13
668;24;8;12;4,81E-06;A24;C8;DR12
667;24;8;11;0,000221803;A24;C8;DR11
666;24;8;1;0,001582249;A24;C8;DR1
665;24;7;9;0,00021689;A24;C7;DR9
664;24;7;8;0,001747998;A24;C7;DR8
663;24;7;7;0,002183736;A24;C7;DR7
662;24;7;4;0,001628072;A24;C7;DR4
661;24;7;3;0,004704976;A24;C7;DR3
660;24;7;16;0,000896534;A24;C7;DR16
659;24;7;15;0,004925871;A24;C7;DR15
658;24;7;14;0,001084473;A24;C7;DR14
657;24;7;13;0,00438864;A24;C7;DR13
656;24;7;12;0,000150762;A24;C7;DR12
655;24;7;11;0,000840023;A24;C7;DR11
654;24;7;10;0,000229219;A24;C7;DR10
653;24;7;1;0,000953123;A24;C7;DR1
652;24;6;8;9,49E-05;A24;C6;DR8
651;24;6;7;0,003691586;A24;C6;DR7
650;24;6;4;0,001700458;A24;C6;DR4
649;24;6;3;0,000242109;A24;C6;DR3
648;24;6;15;3,04E-05;A24;C6;DR15
647;24;6;14;3,87E-05;A24;C6;DR14
646;24;6;13;0,000500595;A24;C6;DR13
645;24;6;12;0,000190286;A24;C6;DR12
644;24;6;11;0,000516673;A24;C6;DR11
643;24;6;10;0,000166621;A24;C6;DR10
642;24;5;8;0,000221304;A24;C5;DR8
641;24;5;7;0,00065172;A24;C5;DR7
640;24;5;4;0,000643201;A24;C5;DR4
639;24;5;3;0,001012568;A24;C5;DR3
638;24;5;16;9,90E-05;A24;C5;DR16
637;24;5;15;0,000202114;A24;C5;DR15
636;24;5;14;6,77E-05;A24;C5;DR14
635;24;5;13;0,002169011;A24;C5;DR13
634;24;5;12;0,000244263;A24;C5;DR12
633;24;5;11;0,000718628;A24;C5;DR11
632;24;5;1;0,000294816;A24;C5;DR1
631;24;4;7;0,002125851;A24;C4;DR7
630;24;4;4;0,001830239;A24;C4;DR4
629;24;4;3;0,000798844;A24;C4;DR3
628;24;4;16;0,000435265;A24;C4;DR16
627;24;4;15;0,001650002;A24;C4;DR15
626;24;4;14;0,000814184;A24;C4;DR14
625;24;4;13;0,001747895;A24;C4;DR13
624;24;4;12;0,000115234;A24;C4;DR12
623;24;4;11;0,005011965;A24;C4;DR11
622;24;4;10;0,000234725;A24;C4;DR10
621;24;4;1;0,001830583;A24;C4;DR1
620;24;3;9;4,44E-05;A24;C3;DR9
619;24;3;8;0,001081374;A24;C3;DR8
618;24;3;7;0,000665855;A24;C3;DR7
617;24;3;4;0,001519896;A24;C3;DR4
616;24;3;3;0,00029212;A24;C3;DR3
615;24;3;16;8,98E-05;A24;C3;DR16
614;24;3;15;0,000619282;A24;C3;DR15
613;24;3;14;0,000236005;A24;C3;DR14
612;24;3;13;0,003633365;A24;C3;DR13
611;24;3;12;2,84E-05;A24;C3;DR12
610;24;3;11;0,003005912;A24;C3;DR11
609;24;3;10;3,23E-05;A24;C3;DR10
608;24;3;1;0,000496485;A24;C3;DR1
607;24;2;8;0,000141212;A24;C2;DR8
606;24;2;7;0,000412524;A24;C2;DR7
605;24;2;4;0,002341157;A24;C2;DR4
604;24;2;3;0,000344528;A24;C2;DR3
603;24;2;16;0,000106933;A24;C2;DR16
602;24;2;15;0,00022526;A24;C2;DR15
601;24;2;14;9,92E-05;A24;C2;DR14
600;24;2;13;0,001561849;A24;C2;DR13
599;24;2;12;9,26E-05;A24;C2;DR12
598;24;2;11;0,001064064;A24;C2;DR11
597;24;2;1;0,004578533;A24;C2;DR1
596;24;18;15;8,05E-05;A24;C18;DR15
595;24;17;9;1,34E-05;A24;C17;DR9
594;24;17;8;1,46E-08;A24;C17;DR8
593;24;17;7;3,13E-11;A24;C17;DR7
592;24;17;4;3,75E-05;A24;C17;DR4
591;24;17;3;9,70E-05;A24;C17;DR3
590;24;17;13;0,000236972;A24;C17;DR13
589;24;17;11;2,02E-05;A24;C17;DR11
588;24;16;8;8,34E-07;A24;C16;DR8
587;24;16;7;0,001685413;A24;C16;DR7
586;24;16;4;0,000679956;A24;C16;DR4
585;24;16;3;0,00054422;A24;C16;DR3
584;24;16;16;1,08E-06;A24;C16;DR16
583;24;16;15;0,00022656;A24;C16;DR15
582;24;16;14;8,48E-12;A24;C16;DR14
581;24;16;13;0,000444069;A24;C16;DR13
580;24;16;12;2,64E-05;A24;C16;DR12
579;24;16;11;0,000468462;A24;C16;DR11
578;24;16;10;0,001505225;A24;C16;DR10
577;24;16;1;0,000157703;A24;C16;DR1
576;24;15;9;9,17E-05;A24;C15;DR9
575;24;15;8;0,000255063;A24;C15;DR8
574;24;15;7;5,89E-05;A24;C15;DR7
573;24;15;4;0,000566376;A24;C15;DR4
572;24;15;3;0,000209294;A24;C15;DR3
571;24;15;15;0,000815579;A24;C15;DR15
570;24;15;14;0,0002166;A24;C15;DR14
569;24;15;13;0,000420582;A24;C15;DR13
568;24;15;12;0,000178723;A24;C15;DR12
567;24;15;11;0,000255477;A24;C15;DR11
566;24;15;1;9,26E-05;A24;C15;DR1
565;24;14;7;1,92E-05;A24;C14;DR7
564;24;14;4;0,000280023;A24;C14;DR4
563;24;14;3;9,20E-05;A24;C14;DR3
562;24;14;16;0,000127359;A24;C14;DR16
561;24;14;15;3,23E-05;A24;C14;DR15
560;24;14;14;7,84E-05;A24;C14;DR14
559;24;14;13;0,000179352;A24;C14;DR13
558;24;14;11;0,000478171;A24;C14;DR11
557;24;14;1;6,27E-05;A24;C14;DR1
556;24;12;9;3,30E-05;A24;C12;DR9
555;24;12;8;0,000203956;A24;C12;DR8
554;24;12;7;0,000769878;A24;C12;DR7
553;24;12;4;0,000452289;A24;C12;DR4
552;24;12;3;0,000366512;A24;C12;DR3
551;24;12;16;0,000604639;A24;C12;DR16
550;24;12;15;0,001135922;A24;C12;DR15
549;24;12;14;0,001172722;A24;C12;DR14
548;24;12;13;0,002431532;A24;C12;DR13
547;24;12;12;0,000249122;A24;C12;DR12
546;24;12;11;0,00182181;A24;C12;DR11
545;24;12;10;1,51E-05;A24;C12;DR10
544;24;12;1;7,34E-05;A24;C12;DR1
543;24;1;8;9,81E-05;A24;C1;DR8
542;24;1;4;0,000222181;A24;C1;DR4
541;24;1;3;0,000269957;A24;C1;DR3
540;24;1;16;4,92E-05;A24;C1;DR16
539;24;1;15;3,97E-05;A24;C1;DR15
538;24;1;14;1,07E-05;A24;C1;DR14
537;24;1;13;0,000296943;A24;C1;DR13
536;24;1;11;0,000233457;A24;C1;DR11
535;24;1;1;0,000673607;A24;C1;DR1
534;23;8;9;5,04E-05;A23;C8;DR9
533;23;8;7;0,000129152;A23;C8;DR7
532;23;8;4;5,83E-05;A23;C8;DR4
531;23;8;3;5,39E-05;A23;C8;DR3
530;23;8;15;0,000487579;A23;C8;DR15
529;23;8;14;7,71E-05;A23;C8;DR14
528;23;8;13;8,30E-05;A23;C8;DR13
527;23;8;11;1,55E-10;A23;C8;DR11
526;23;8;1;0,000998722;A23;C8;DR1
525;23;7;9;2,67E-05;A23;C7;DR9
524;23;7;8;0,001056617;A23;C7;DR8
523;23;7;7;0,00049604;A23;C7;DR7
522;23;7;4;0,000785961;A23;C7;DR4
521;23;7;3;0,001305371;A23;C7;DR3
520;23;7;16;3,31E-05;A23;C7;DR16
519;23;7;15;0,002019955;A23;C7;DR15
518;23;7;13;0,002972997;A23;C7;DR13
517;23;7;12;2,61E-05;A23;C7;DR12
516;23;7;11;0,001592472;A23;C7;DR11
515;23;7;10;0,000600229;A23;C7;DR10
514;23;7;1;0,000312044;A23;C7;DR1
513;23;6;9;2,35E-05;A23;C6;DR9
512;23;6;8;0,000100209;A23;C6;DR8
511;23;6;7;0,00161304;A23;C6;DR7
510;23;6;4;0,000953398;A23;C6;DR4
509;23;6;3;0,00090431;A23;C6;DR3
508;23;6;14;1,04E-05;A23;C6;DR14
507;23;6;13;0,000206158;A23;C6;DR13
506;23;6;11;0,000257291;A23;C6;DR11
505;23;6;10;4,06E-05;A23;C6;DR10
504;23;6;1;0,000292606;A23;C6;DR1
503;23;5;8;2,25E-05;A23;C5;DR8
502;23;5;7;0,000176585;A23;C5;DR7
501;23;5;4;0,000162853;A23;C5;DR4
500;23;5;3;0,000136642;A23;C5;DR3
499;23;5;14;4,61E-05;A23;C5;DR14
498;23;5;13;0,000399418;A23;C5;DR13
497;23;5;12;3,39E-07;A23;C5;DR12
496;23;5;11;2,66E-12;A23;C5;DR11
495;23;5;10;2,67E-06;A23;C5;DR10
494;23;4;8;0,000197513;A23;C4;DR8
493;23;4;7;0,010198089;A23;C4;DR7
492;23;4;4;0,001160776;A23;C4;DR4
491;23;4;3;0,000529246;A23;C4;DR3
490;23;4;16;0,000192485;A23;C4;DR16
489;23;4;15;0,000776128;A23;C4;DR15
488;23;4;14;0,001529668;A23;C4;DR14
487;23;4;13;0,001412064;A23;C4;DR13
486;23;4;12;5,15E-05;A23;C4;DR12
485;23;4;11;0,001107069;A23;C4;DR11
484;23;4;10;0,000196516;A23;C4;DR10
483;23;4;1;0,000949805;A23;C4;DR1
482;23;3;8;3,44E-05;A23;C3;DR8
481;23;3;7;5,75E-05;A23;C3;DR7
480;23;3;4;7,35E-05;A23;C3;DR4
479;23;3;16;8,25E-06;A23;C3;DR16
478;23;3;15;0,000186079;A23;C3;DR15
477;23;3;13;0,000250665;A23;C3;DR13
476;23;3;10;1,95E-12;A23;C3;DR10
475;23;3;1;6,12E-05;A23;C3;DR1
474;23;2;7;0,001043387;A23;C2;DR7
473;23;2;4;0,000102617;A23;C2;DR4
472;23;2;3;0,000135884;A23;C2;DR3
471;23;2;15;8,36E-05;A23;C2;DR15
470;23;2;13;0,00076555;A23;C2;DR13
469;23;2;11;7,01E-05;A23;C2;DR11
468;23;2;1;0,001035268;A23;C2;DR1
467;23;17;7;0,000266685;A23;C17;DR7
466;23;17;3;2,24E-05;A23;C17;DR3
465;23;17;15;3,72E-05;A23;C17;DR15
464;23;17;11;6,20E-05;A23;C17;DR11
463;23;17;1;3,66E-05;A23;C17;DR1
462;23;16;7;0,001576578;A23;C16;DR7
461;23;16;4;6,34E-05;A23;C16;DR4
460;23;16;15;4,94E-05;A23;C16;DR15
459;23;16;14;4,60E-07;A23;C16;DR14
458;23;16;13;6,40E-05;A23;C16;DR13
457;23;16;11;0,000127487;A23;C16;DR11
456;23;16;1;9,26E-05;A23;C16;DR1
455;23;15;8;9,34E-06;A23;C15;DR8
454;23;15;7;0,000408275;A23;C15;DR7
453;23;15;4;2,20E-05;A23;C15;DR4
452;23;15;15;0,000150082;A23;C15;DR15
451;23;15;13;4,63E-05;A23;C15;DR13
450;23;15;11;0,00026561;A23;C15;DR11
449;23;14;7;9,71E-05;A23;C14;DR7
448;23;14;16;2,41E-05;A23;C14;DR16
447;23;14;1;0,000103616;A23;C14;DR1
446;23;12;16;0,000207027;A23;C12;DR16
445;23;12;15;0,000134282;A23;C12;DR15
444;23;12;11;7,48E-05;A23;C12;DR11
443;23;12;1;0,000212626;A23;C12;DR1
442;23;1;7;8,12E-05;A23;C1;DR7
441;23;1;3;1,89E-05;A23;C1;DR3
440;23;1;16;2,48E-05;A23;C1;DR16
439;23;1;13;6,59E-05;A23;C1;DR13
438;23;1;11;1,64E-05;A23;C1;DR11
437;23;1;10;1,60E-05;A23;C1;DR10
436;2;8;9;3,87E-05;A2;C8;DR9
435;2;8;8;0,000127126;A2;C8;DR8
434;2;8;7;0,000989464;A2;C8;DR7
433;2;8;4;0,00045728;A2;C8;DR4
432;2;8;3;0,001068796;A2;C8;DR3
431;2;8;15;0,000310313;A2;C8;DR15
430;2;8;13;0,000413914;A2;C8;DR13
429;2;8;11;0,001388536;A2;C8;DR11
428;2;8;10;2,40E-05;A2;C8;DR10
427;2;8;1;0,004902062;A2;C8;DR1
426;2;7;9;0,0001054;A2;C7;DR9
425;2;7;8;0,003181118;A2;C7;DR8
424;2;7;7;0,005502546;A2;C7;DR7
423;2;7;4;0,006686573;A2;C7;DR4
422;2;7;3;0,006936342;A2;C7;DR3
421;2;7;16;0,003350322;A2;C7;DR16
420;2;7;15;0,00798722;A2;C7;DR15
419;2;7;14;0,000621352;A2;C7;DR14
418;2;7;13;0,008468087;A2;C7;DR13
417;2;7;12;0,001067346;A2;C7;DR12
416;2;7;11;0,007373171;A2;C7;DR11
415;2;7;10;0,000935155;A2;C7;DR10
414;2;7;1;0,003696213;A2;C7;DR1
413;2;6;9;4,79E-09;A2;C6;DR9
412;2;6;8;0,000990702;A2;C6;DR8
411;2;6;7;0,015369989;A2;C6;DR7
410;2;6;4;0,003583651;A2;C6;DR4
409;2;6;3;0,002293634;A2;C6;DR3
408;2;6;16;0,000763808;A2;C6;DR16
407;2;6;15;0,000692211;A2;C6;DR15
406;2;6;14;0,00013856;A2;C6;DR14
405;2;6;13;0,002595265;A2;C6;DR13
404;2;6;12;0,000236418;A2;C6;DR12
403;2;6;11;0,001296527;A2;C6;DR11
402;2;6;10;0,000876571;A2;C6;DR10
401;2;6;1;0,000868087;A2;C6;DR1
400;2;5;9;0,000140283;A2;C5;DR9
399;2;5;8;0,001979117;A2;C5;DR8
398;2;5;7;0,003034586;A2;C5;DR7
397;2;5;4;0,010896733;A2;C5;DR4
396;2;5;3;0,004154328;A2;C5;DR3
395;2;5;16;0,000256589;A2;C5;DR16
394;2;5;15;0,002201305;A2;C5;DR15
393;2;5;14;0,000199578;A2;C5;DR14
392;2;5;13;0,009030308;A2;C5;DR13
391;2;5;12;0,002958188;A2;C5;DR12
390;2;5;11;0,002703711;A2;C5;DR11
389;2;5;10;0,000322616;A2;C5;DR10
388;2;5;1;0,002750284;A2;C5;DR1
387;2;4;9;0,000131554;A2;C4;DR9
386;2;4;8;0,002357025;A2;C4;DR8
385;2;4;7;0,006159243;A2;C4;DR7
384;2;4;4;0,002841143;A2;C4;DR4
383;2;4;3;0,003262943;A2;C4;DR3
382;2;4;16;0,000517254;A2;C4;DR16
381;2;4;15;0,000435014;A2;C4;DR15
380;2;4;14;0,001960106;A2;C4;DR14
379;2;4;13;0,004776208;A2;C4;DR13
378;2;4;12;0,00022426;A2;C4;DR12
377;2;4;11;0,005580613;A2;C4;DR11
376;2;4;10;0,000138021;A2;C4;DR10
375;2;4;1;0,005104912;A2;C4;DR1
374;2;3;9;0,000239588;A2;C3;DR9
373;2;3;8;0,000827156;A2;C3;DR8
372;2;3;7;0,001969958;A2;C3;DR7
371;2;3;4;0,006024202;A2;C3;DR4
370;2;3;3;0,001215266;A2;C3;DR3
369;2;3;16;9,97E-05;A2;C3;DR16
368;2;3;15;0,001435311;A2;C3;DR15
367;2;3;14;0,000922556;A2;C3;DR14
366;2;3;13;0,002898672;A2;C3;DR13
365;2;3;12;0,000225861;A2;C3;DR12
364;2;3;11;0,001305284;A2;C3;DR11
363;2;3;1;0,001272804;A2;C3;DR1
362;2;2;8;0,001012944;A2;C2;DR8
361;2;2;7;0,003261316;A2;C2;DR7
360;2;2;4;0,001911241;A2;C2;DR4
359;2;2;3;0,000716655;A2;C2;DR3
358;2;2;16;0,00117335;A2;C2;DR16
357;2;2;15;0,001918818;A2;C2;DR15
356;2;2;13;0,003458271;A2;C2;DR13
355;2;2;12;0,000698652;A2;C2;DR12
354;2;2;11;0,003366492;A2;C2;DR11
353;2;2;10;0,000382513;A2;C2;DR10
352;2;2;1;0,001788561;A2;C2;DR1
351;2;18;16;2,56E-05;A2;C18;DR16
350;2;18;15;0,000104043;A2;C18;DR15
349;2;17;8;1,83E-05;A2;C17;DR8
348;2;17;7;0,000177166;A2;C17;DR7
347;2;17;4;0,000105652;A2;C17;DR4
346;2;17;3;0,0007896;A2;C17;DR3
345;2;17;15;6,43E-05;A2;C17;DR15
344;2;17;13;0,001375552;A2;C17;DR13
343;2;17;12;4,27E-05;A2;C17;DR12
342;2;17;1;5,58E-05;A2;C17;DR1
341;2;16;9;2,59E-05;A2;C16;DR9
340;2;16;7;0,00458199;A2;C16;DR7
339;2;16;4;0,002564783;A2;C16;DR4
338;2;16;3;0,000347461;A2;C16;DR3
337;2;16;16;0,000456131;A2;C16;DR16
336;2;16;15;0,001103009;A2;C16;DR15
335;2;16;14;0,000223372;A2;C16;DR14
334;2;16;13;0,001357233;A2;C16;DR13
333;2;16;12;0,000449415;A2;C16;DR12
332;2;16;11;0,001391399;A2;C16;DR11
331;2;16;10;0,000409315;A2;C16;DR10
330;2;16;1;0,000372406;A2;C16;DR1
329;2;15;9;0,000274663;A2;C15;DR9
328;2;15;8;0,00032509;A2;C15;DR8
327;2;15;7;0,001705092;A2;C15;DR7
326;2;15;4;0,00250635;A2;C15;DR4
325;2;15;3;0,000220805;A2;C15;DR3
324;2;15;16;0,001096975;A2;C15;DR16
323;2;15;15;0,000502332;A2;C15;DR15
322;2;15;14;0,000444042;A2;C15;DR14
321;2;15;13;0,002065421;A2;C15;DR13
320;2;15;12;0,000413663;A2;C15;DR12
319;2;15;11;0,002241656;A2;C15;DR11
318;2;15;10;0,000638402;A2;C15;DR10
317;2;15;1;0,000568312;A2;C15;DR1
316;2;14;9;2,39E-05;A2;C14;DR9
315;2;14;8;0,006924679;A2;C14;DR8
314;2;14;7;0,002008744;A2;C14;DR7
313;2;14;4;0,001052821;A2;C14;DR4
312;2;14;3;0,000351129;A2;C14;DR3
311;2;14;16;0,000140905;A2;C14;DR16
310;2;14;15;0,000598385;A2;C14;DR15
309;2;14;14;0,000412033;A2;C14;DR14
308;2;14;13;0,001933744;A2;C14;DR13
307;2;14;12;7,96E-06;A2;C14;DR12
306;2;14;11;0,00171067;A2;C14;DR11
305;2;14;10;0,000100624;A2;C14;DR10
304;2;14;1;0,001180423;A2;C14;DR1
303;2;12;8;0,000984373;A2;C12;DR8
302;2;12;7;0,000247421;A2;C12;DR7
301;2;12;4;0,000533942;A2;C12;DR4
300;2;12;3;0,000137549;A2;C12;DR3
299;2;12;16;0,001773986;A2;C12;DR16
298;2;12;15;0,001021225;A2;C12;DR15
297;2;12;14;0,000563699;A2;C12;DR14
296;2;12;13;0,002665472;A2;C12;DR13
295;2;12;12;0,000155248;A2;C12;DR12
294;2;12;11;0,003385919;A2;C12;DR11
293;2;12;10;0,000126015;A2;C12;DR10
292;2;12;1;0,00090056;A2;C12;DR1
291;2;1;9;0,000858031;A2;C1;DR9
290;2;1;8;0,000805046;A2;C1;DR8
289;2;1;7;0,000478045;A2;C1;DR7
288;2;1;4;0,000645654;A2;C1;DR4
287;2;1;3;0,000133021;A2;C1;DR3
286;2;1;16;3,38E-05;A2;C1;DR16
285;2;1;15;0,000392308;A2;C1;DR15
284;2;1;14;0,000315828;A2;C1;DR14
283;2;1;13;0,001635954;A2;C1;DR13
282;2;1;12;0,000322792;A2;C1;DR12
281;2;1;11;0,000495917;A2;C1;DR11
280;2;1;1;0,003358165;A2;C1;DR1
279;11;8;7;0,00093752;A11;C8;DR7
278;11;8;4;0,000313167;A11;C8;DR4
277;11;8;3;7,55E-05;A11;C8;DR3
276;11;8;15;9,43E-05;A11;C8;DR15
275;11;8;13;0,000123102;A11;C8;DR13
274;11;8;12;2,10E-05;A11;C8;DR12
273;11;8;11;0,000186415;A11;C8;DR11
272;11;8;1;0,002160034;A11;C8;DR1
271;11;7;9;5,92E-05;A11;C7;DR9
270;11;7;8;0,000114988;A11;C7;DR8
269;11;7;7;0,000859368;A11;C7;DR7
268;11;7;4;0,003498737;A11;C7;DR4
267;11;7;3;0,001096986;A11;C7;DR3
266;11;7;16;0,000666616;A11;C7;DR16
265;11;7;15;0,001560733;A11;C7;DR15
264;11;7;14;0,000130552;A11;C7;DR14
263;11;7;13;0,000965867;A11;C7;DR13
262;11;7;12;2,45E-05;A11;C7;DR12
261;11;7;11;0,001260159;A11;C7;DR11
260;11;7;10;1,32E-05;A11;C7;DR10
259;11;7;1;0,000470787;A11;C7;DR1
258;11;6;9;4,73E-05;A11;C6;DR9
257;11;6;8;5,07E-05;A11;C6;DR8
256;11;6;7;0,000915631;A11;C6;DR7
255;11;6;4;0,00019142;A11;C6;DR4
254;11;6;3;4,97E-08;A11;C6;DR3
253;11;6;16;2,18E-05;A11;C6;DR16
252;11;6;15;6,70E-05;A11;C6;DR15
251;11;6;14;2,58E-07;A11;C6;DR14
250;11;6;13;0,000102847;A11;C6;DR13
249;11;6;10;1,97E-05;A11;C6;DR10
248;11;6;1;4,00E-05;A11;C6;DR1
247;11;5;7;0,000410476;A11;C5;DR7
246;11;5;4;0,000801659;A11;C5;DR4
245;11;5;3;0,000865708;A11;C5;DR3
244;11;5;15;7,57E-05;A11;C5;DR15
243;11;5;14;0,000356133;A11;C5;DR14
242;11;5;13;0,00072405;A11;C5;DR13
241;11;5;12;0,001282141;A11;C5;DR12
240;11;5;11;0,00030873;A11;C5;DR11
239;11;5;10;5,94E-05;A11;C5;DR10
238;11;5;1;0,000172827;A11;C5;DR1
237;11;4;8;0,000257535;A11;C4;DR8
236;11;4;7;0,002011328;A11;C4;DR7
235;11;4;4;0,002320094;A11;C4;DR4
234;11;4;3;0,000699002;A11;C4;DR3
233;11;4;16;0,000136556;A11;C4;DR16
232;11;4;15;0,000307303;A11;C4;DR15
231;11;4;14;0,001963722;A11;C4;DR14
230;11;4;13;0,001810763;A11;C4;DR13
229;11;4;12;0,000495856;A11;C4;DR12
228;11;4;11;0,002333881;A11;C4;DR11
227;11;4;10;0,000241364;A11;C4;DR10
226;11;4;1;0,009399931;A11;C4;DR1
225;11;3;9;0,000280302;A11;C3;DR9
224;11;3;8;2,83E-05;A11;C3;DR8
223;11;3;7;0,000354596;A11;C3;DR7
222;11;3;4;0,001256557;A11;C3;DR4
221;11;3;3;0,000211506;A11;C3;DR3
220;11;3;16;0,000137995;A11;C3;DR16
219;11;3;15;0,000273801;A11;C3;DR15
218;11;3;14;0,001258501;A11;C3;DR14
217;11;3;13;0,00044608;A11;C3;DR13
216;11;3;11;0,000252844;A11;C3;DR11
215;11;3;1;0,000615365;A11;C3;DR1
214;11;2;9;0,000132527;A11;C2;DR9
213;11;2;8;0,000199665;A11;C2;DR8
212;11;2;7;0,000126888;A11;C2;DR7
211;11;2;4;0,00048929;A11;C2;DR4
210;11;2;3;3,99E-06;A11;C2;DR3
209;11;2;15;6,76E-08;A11;C2;DR15
208;11;2;13;0,00040896;A11;C2;DR13
207;11;2;11;0,000492166;A11;C2;DR11
206;11;2;1;4,41E-05;A11;C2;DR1
205;11;17;8;8,83E-06;A11;C17;DR8
204;11;17;7;5,58E-05;A11;C17;DR7
203;11;17;4;7,84E-06;A11;C17;DR4
202;11;17;3;4,19E-05;A11;C17;DR3
201;11;17;13;0,000128291;A11;C17;DR13
200;11;17;10;2,73E-14;A11;C17;DR10
199;11;16;9;5,18E-06;A11;C16;DR9
198;11;16;8;2,01E-05;A11;C16;DR8
197;11;16;7;0,0005927;A11;C16;DR7
196;11;16;4;8,09E-10;A11;C16;DR4
195;11;16;3;6,02E-05;A11;C16;DR3
194;11;16;15;0,000245371;A11;C16;DR15
193;11;16;14;5,68E-05;A11;C16;DR14
192;11;16;12;0,00018719;A11;C16;DR12
191;11;16;11;9,83E-05;A11;C16;DR11
190;11;16;10;0,0002518;A11;C16;DR10
189;11;16;1;0,000152453;A11;C16;DR1
188;11;15;9;0,00026305;A11;C15;DR9
187;11;15;8;0,000258218;A11;C15;DR8
186;11;15;7;0,000741399;A11;C15;DR7
185;11;15;4;0,000995184;A11;C15;DR4
184;11;15;3;6,12E-05;A11;C15;DR3
183;11;15;16;0,000192437;A11;C15;DR16
182;11;15;15;0,000428536;A11;C15;DR15
181;11;15;14;0,000345917;A11;C15;DR14
180;11;15;13;0,000790343;A11;C15;DR13
179;11;15;12;1,37E-05;A11;C15;DR12
178;11;15;11;0,000390419;A11;C15;DR11
177;11;15;10;1,05E-05;A11;C15;DR10
176;11;15;1;0,000403504;A11;C15;DR1
175;11;14;9;0,000112814;A11;C14;DR9
174;11;14;8;3,28E-05;A11;C14;DR8
173;11;14;7;0,000223966;A11;C14;DR7
172;11;14;4;8,47E-06;A11;C14;DR4
171;11;14;16;2,11E-05;A11;C14;DR16
170;11;14;14;2,00E-05;A11;C14;DR14
169;11;14;13;6,82E-05;A11;C14;DR13
168;11;14;11;9,62E-05;A11;C14;DR11
167;11;14;10;2,73E-05;A11;C14;DR10
166;11;14;1;2,03E-05;A11;C14;DR1
165;11;12;8;0,000521725;A11;C12;DR8
164;11;12;7;0,000246755;A11;C12;DR7
163;11;12;4;0,000256852;A11;C12;DR4
162;11;12;3;4,77E-05;A11;C12;DR3
161;11;12;16;0,000217486;A11;C12;DR16
160;11;12;15;0,001013579;A11;C12;DR15
159;11;12;14;0,000172921;A11;C12;DR14
158;11;12;13;0,000280025;A11;C12;DR13
157;11;12;11;0,000336569;A11;C12;DR11
156;11;12;10;9,30E-06;A11;C12;DR10
155;11;12;1;5,00E-05;A11;C12;DR1
154;11;1;9;0,000271588;A11;C1;DR9
153;11;1;8;0,000103071;A11;C1;DR8
152;11;1;7;1,56E-05;A11;C1;DR7
151;11;1;4;0,000102716;A11;C1;DR4
150;11;1;3;2,56E-05;A11;C1;DR3
149;11;1;15;7,51E-05;A11;C1;DR15
148;11;1;14;6,82E-05;A11;C1;DR14
147;11;1;13;0,000840594;A11;C1;DR13
146;11;1;11;8,16E-05;A11;C1;DR11
145;11;1;1;0,002501943;A11;C1;DR1
144;1;8;9;9,16E-07;A1;C8;DR9
143;1;8;8;7,89E-06;A1;C8;DR8
142;1;8;7;0,000425113;A1;C8;DR7
141;1;8;4;6,44E-05;A1;C8;DR4
140;1;8;3;7,29E-05;A1;C8;DR3
139;1;8;16;1,34E-05;A1;C8;DR16
138;1;8;15;2,80E-05;A1;C8;DR15
137;1;8;14;2,63E-05;A1;C8;DR14
136;1;8;10;5,45E-05;A1;C8;DR10
135;1;8;1;0,000736399;A1;C8;DR1
134;1;7;9;0,000161148;A1;C7;DR9
133;1;7;8;0,000837551;A1;C7;DR8
132;1;7;7;0,008205395;A1;C7;DR7
131;1;7;4;0,00168394;A1;C7;DR4
130;1;7;3;0,031330599;A1;C7;DR3
129;1;7;16;0,000447382;A1;C7;DR16
128;1;7;15;0,003300865;A1;C7;DR15
127;1;7;14;0,000223884;A1;C7;DR14
126;1;7;13;0,005546689;A1;C7;DR13
125;1;7;12;0,000420906;A1;C7;DR12
124;1;7;11;0,0024826;A1;C7;DR11
123;1;7;10;0,000296549;A1;C7;DR10
122;1;7;1;0,001948112;A1;C7;DR1
121;1;6;8;0,000527965;A1;C6;DR8
120;1;6;7;0,005247905;A1;C6;DR7
119;1;6;4;0,0020961;A1;C6;DR4
118;1;6;3;0,000381304;A1;C6;DR3
117;1;6;16;0,000158948;A1;C6;DR16
116;1;6;15;0,000609439;A1;C6;DR15
115;1;6;14;3,79E-05;A1;C6;DR14
114;1;6;13;0,002244465;A1;C6;DR13
